127.0.0.1 - - [04/Nov/2023:10:05:13 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:13 -0300] "GET /Modulo4/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:13 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:13 -0300] "GET /Modulo4/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:13 -0300] "GET /Modulo4/assets/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:16 -0300] "GET /Modulo4/destinos.jsp HTTP/1.1" 200 9886
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:16 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:16 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:16 -0300] "GET /Modulo4/assets/images/breadcrumbs-decorate.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:16 -0300] "GET /Modulo4/MeuPacoteServlet?action=listar HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:21 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:21 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:21 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:21 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:31 -0300] "GET /Modulo4/pedidos.jsp HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:31 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:31 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:31 -0300] "GET /Modulo4/MeuPacoteServlet?action=listar HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:31 -0300] "GET /Modulo4/Pedido?action=listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:41 -0300] "POST /Modulo4/Pedido HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:42 -0300] "GET /Modulo4/Pedido?action=listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:43 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:43 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:43 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:43 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:48 -0300] "GET /Modulo4/editarCliente.jsp?cpf=14702840738 HTTP/1.1" 200 7600
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:48 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:05:48 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:03 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:03 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:03 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:03 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:09 -0300] "POST /Modulo4/ClienteController HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:10 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:10 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:10 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:10 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:12 -0300] "GET /Modulo4/destinos.jsp HTTP/1.1" 200 9886
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:12 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:12 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:12 -0300] "GET /Modulo4/MeuPacoteServlet?action=listar HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:15 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:15 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:15 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:15 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:47 -0300] "POST /Modulo4/ClienteController HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:48 -0300] "GET /Modulo4/cliente.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:48 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:48 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:48 -0300] "GET /Modulo4/ClienteController?action=listar HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:59 -0300] "GET /Modulo4/pedidos.jsp HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:59 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:59 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:59 -0300] "GET /Modulo4/Pedido?action=listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:06:59 -0300] "GET /Modulo4/MeuPacoteServlet?action=listar HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:00 -0300] "GET /Modulo4/destinos.jsp HTTP/1.1" 200 9886
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:00 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:00 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:01 -0300] "GET /Modulo4/MeuPacoteServlet?action=listar HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:02 -0300] "GET /Modulo4/editarDestino.jsp?idPacote=23 HTTP/1.1" 200 7896
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:02 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:02 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:02 -0300] "GET /Modulo4/assets/images/breadcrumbs-decorate.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:07 -0300] "POST /Modulo4/MeuPacoteServlet HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:08 -0300] "GET /Modulo4/destinos.jsp HTTP/1.1" 200 9886
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:08 -0300] "GET /Modulo4/assets/fonts.googleapis.com/css?family=Oswald:200,400%7CLato:300,400,300italic,700%7CMontserrat:900 HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:07:08 -0300] "GET /Modulo4/assets/images/logo-default-208x46.png HTTP/1.1" 404 821
